label	text
1	(personx, stays up, all night studying)
1	(personx, devotes to the study, personx 's ___)
1	(personx, teaches to sew, persony)
1	(personx, teaches, persony 's children)
1	(personx, teaches, persony 's daughter)
1	(personx, puts into practice, the ___)
1	(personx, practices, all the time)
1	(personx, helps, personx 's practice)
1	(personx, practices, personx 's moves)
1	(personx, helps, persony 's practice)
1	(personx, trains, the new employee)
1	(personx, begins, training)
1	(personx, gives persony, training)
1	(personx, starts, training)
2	(personx, buys, a new gun)
2	(personx, kills, personx 's father)
2	(personx, mounts, persony attack)
2	(personx, hangs, a louie)
2	(personx, clenches, persony 's fists)
2	(personx, kicks, persony 's legs)
2	(personx, kills, persony 's brother)
2	(personx, meets, ___ with force)
2	(personx, throws, ___ at the tv)
2	(personx, hits, personx 's brother)
2	(personx, executes upon persony doeth evil, ___)
2	(personx, gets, personx 's gun)
2	(personx, repels, persony attack)
2	(personx, beats, persony 's friend)
2	(personx, makes upon persony, war)
2	(personx, revenges, personx 's father 's ___)
2	(personx, damns, the torpedoes)
2	(personx, shoots, the messenger)
2	(personx, gnaws, persony 's vitals)
2	(personx, throws overboard, persony)
2	(personx, avenges, personx 's father 's ___)
2	(personx, avenges, personx 's brother 's ___)
2	(personx, avenges, persony 's father 's ___)
2	(personx, slaps, ___ in the face)
2	(personx, avenges, persony 's brother 's ___)
2	(personx, ends, persony 's life)
2	(personx, avenges, persony 's death)
2	(personx, slaps, persony on the back)
2	(personx, kills first, persony)
2	(personx, takes, personx 's revenge)
2	(personx, rips apart, persony)
2	(personx, threatens, persony 's life)
2	(personx, clenches, persony 's jaw)
2	(personx, throws, ___ at the teacher)
2	(personx, slaps, persony in the face)
2	(personx, kills instantly, persony)
2	(personx, breaks, every ___ in persony 's body)
2	(personx, kicks, persony out of the house)
2	(personx, hits, personx 's friend)
2	(personx, kills, every ___)
2	(personx, hits, persony 's friend)
2	(personx, breaks, personx 's lance)
2	(personx, breaks, persony 's hand)
2	(personx, kills, another ___)
2	(personx, kills, personx 's children)
2	(personx, kills, persony 's children)
2	(personx, breaks, both of persony 's legs)
2	(personx, hits, persony 's brother)
2	(personx, kills, personx 's brother)
2	(personx, breaks, persony 's arm)
2	(personx, kills, personx 's son)
2	(personx, takes, persony 's revenge)
2	(personx, kills, persony 's son)
2	(personx, kills, persony 's father)
2	(personx, hits, someone)
2	(personx, hits, persony 's head)
2	(personx, beats out, persony 's brains)
2	(personx, kills, personx 's husband)
2	(personx, causes, persony 's death)
2	(personx, kills, persony 's husband)
2	(personx, kills, personx 's wife)
2	(personx, kills, persony 's wife)
2	(personx, sticks, persony 's head)
2	(personx, breaks neck, persony)
2	(personx, kicks, persony when they are down)
2	(personx, kills, persony on the spot)
2	(personx, breaks, the screen)
2	(personx, kills, personx 's mother)
2	(personx, breaks, persony 's window)
2	(personx, kills, persony 's mother)
2	(personx, hits, persony in the head)
2	(personx, breaks, persony 's leg)
2	(personx, breaks, my arm)
2	(personx, hits, persony on the head)
3	(personx, plays again, football)
3	(personx, bounces, the ball)
3	(personx, goes, skiing)
3	(personx, loves, baseball)
3	(personx, plays with personx 's friends, football)
3	(personx, plays, tennis)
3	(personx, plays, badminton)
3	(personx, plays with personx 's friends, baseball)
3	(personx, takes, a swim)
3	(personx, plays, flag football)
3	(personx, throws, the football)
3	(personx, is playing, football)
3	(personx, plays, varsity football)
3	(personx, plays, football in high school)
3	(personx, plays, professional football)
3	(personx, is playing with persony 's friends, football)
3	(personx, throws, a football)
3	(personx, plays after school, football)
3	(personx, plays, football)
3	(personx, is playing with personx 's friends, football)
3	(personx, plays, soccer)
3	(personx, is playing, soccer)
3	(personx, plays, soccer ___)
3	(personx, plays with personx 's friend, tennis)
3	(personx, plays with persony 's friend, tennis)
3	(personx, is playing, tennis)
3	(personx, goes, swimming)
3	(personx, goes, night swimming)
3	(personx, gets on, personx 's skates)
3	(personx, rids, personx 's skateboard)
3	(personx, rids, persony 's skateboard)
3	(personx, finishes, the marathon)
3	(personx, runs, the marathon)
3	(personx, enters, a marathon)
3	(personx, runs, personx 's first marathon)
3	(personx, runs, a marathon)
3	(personx, gets, some exercise)
3	(personx, gets, more exercise)
3	(personx, plays, sports)
3	(personx, plays, many sports)
3	(personx, plays, a sport)
3	(personx, plays, basketball)
3	(personx, is playing, basketball)
3	(personx, is playing with personx 's friends, basketball)
3	(personx, plays, basketball ___)
3	(personx, plays with persony 's friends, basketball)
3	(personx, plays again, basketball)
3	(personx, is playing, a game of basketball)
3	(personx, plays, some basketball)
3	(personx, is playing with persony 's friends, basketball)
3	(personx, plays after school, basketball with personx 's friends)
3	(personx, plays, professional basketball)
3	(personx, plays at the park, basketball)
3	(personx, plays, a game of basketball)
3	(personx, plays, basketball every day)
3	(personx, plays with persony 's friends, baseball)
3	(personx, is playing, baseball)
3	(personx, plays, baseball ___)
3	(personx, plays, professional baseball)
3	(personx, plays, baseball)
